oyun_adi,etiketler,gelistirici,yayinci,yayin_tarihi,turkce_incelemeler,en_son_incelemeler,turkce_destegi,fiyat_dlc,fiyat2,ozellikler,kontrolcu_destegi,dil_sayisi,diller_detay,yas_siniri
Wallpaper Engine,"Yetişkinler İçin, Yardımcı Uygulamalar, Anime, Yazılım, Tasarım ve İllüstrasyon, Animasyon ve Modelleme, Birinci Şahıs, NSFW, Bağımsız, Sevimli, Meme'ler, Aksiyon, Tek Oyunculu, Komik, Erken Erişim, Fotoğraf Düzenleme, Sandbox, Oyun, Korku, Oyun Geliştirme",Wallpaper Engine Team,Wallpaper Engine Team,16 Kas 2018,"Türkçe İncelemelerSon Derece Olumlu(%97/15,026)","En Son:Son Derece Olumlu(%97/8,302)",Arayuz,Ücretsiz,$2.99 USD,"Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Bölüm düzenleyicisi içerir",,Türkçe ve 22 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Almanca: Arayuz | Basitleştirilmiş Çince: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Kastilya İspanyolcası: Arayuz | Fince: Arayuz | Japonca: Arayuz | Korece: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Portekizce - Portekiz: Arayuz | Rusça: Arayuz | Danca: Arayuz | Çekçe: Arayuz | Arapça: Arayuz | Ukraynaca: Arayuz | Endonezce: Arayuz | Farsça: Arayuz,
SnowRunner,"Simülasyon, Otomobil Simülasyonu, Çok Oyunculu, Macera, Araç Kullanma, Keşif, Gerçekçi, Açık Dünya, Sandbox, Birinci Şahıs, Üçüncü Şahıs, Atmosferik, Kar, Sürükleyici Simülasyon, Yarış, Fizik Tabanlı, Doğa, ATV, Takım Tabanlı, PvE",Saber Interactive,Focus Entertainment,17 May 2021,"Türkçe İncelemelerÇok Olumlu(%89/1,122)",En Son:Çok Olumlu(%89/634),Desteklenmiyor,$4.99 USD,$125.99 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Telefonda Remote Play, Tablette Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Çekçe: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
Enshrouded,"Açık Dünya, Hayatta Kalma, Üs İnşa Etme, Çok Oyunculu, Çevrimiçi Eşli Oyun, Üretim, RYO, Macera, Keşif, İnşa Etme, Aksiyon RYO, Tek Oyunculu, Fantezi, Sandbox, Karakter Kişiselleştirme, Erken Erişim, PvE, Aksiyon, 3D, Bağımsız",Keen Games GmbH,Keen Games GmbH,24 Oca 2024,"Türkçe İncelemelerÇok Olumlu(%86/1,032)","En Son:Çok Olumlu(%81/1,397)",Arayuz,-20%$3.99$3.19 USD,$3.19 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 14 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Tayca: Arayuz,
Slay the Spire,"Roguelike Deste Oluşturma, Kart Oyunu, Kartlı Savaş, Rogue-like, Deste Oluşturma, Sıra Tabanlı, Strateji, Tek Oyunculu, Rogue-lite, Tekrar Oynanabilir, Bağımsız, Zor, Dungeon Crawler, Sadece Fare, RYO, 2D, Fantezi, Prosedürel Oluşturma, Harika Müzik, Basit Eğlence",Mega Crit,Mega Crit,23 Oca 2019,"Türkçe İncelemelerSon Derece Olumlu(%96/1,102)","En Son:Son Derece Olumlu(%95/3,466)",Arayuz,-50%$2.99$1.49 USD,$1.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Steam Cloud, İstatistikler, Steam Sıralama Listeleri, Telefonda Remote Play, Tablette Remote Play, Televizyonda Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 16 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Basitleştirilmiş Çince: Arayuz | Fransızca: Arayuz | Almanca: Arayuz | Korece: Arayuz | Rusça: Arayuz | Japonca: Arayuz | Lehçe: Arayuz | Ukraynaca: Arayuz | Kastilya İspanyolcası: Arayuz | İtalyanca: Arayuz | Felemenkçe: Arayuz | Geleneksel Çince: Arayuz | Tayca: Arayuz | Brezilya Portekizcesi: Arayuz | Vietnamca: Arayuz,
Dune: Awakening,"Açık Dünya Hayatta Kalma İnşa, Hayatta Kalma, Macera, Açık Dünya, RYO, Çok Oyunculu, PvP, Üs İnşa Etme, Keşif, PvE, Bilim Kurgu, İnşa Etme, Sandbox, Karakter Kişiselleştirme, Aksiyon, Çevrimiçi Eşli Oyun, Üçüncü Şahıs, Üretim, Devasa Çok Oyunculu, Zengin Evren",Funcom,Funcom,10 Haz 2025,Türkçe İncelemelerÇok Olumlu(%82/644),"En Son:Karışık(%62/1,065)","Arayuz, Altyazi",$7.99 USD,$34.77 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 13 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi",16+
The Quinfall,"Devasa Çok Oyunculu, Devasa Çok Oyunculu RYO, Açık Dünya, RYO, Karakter Kişiselleştirme, Orta Çağ, Çok Oyunculu, Macera, Aksiyon RYO, PvP, PvE, Avlanma, Aşçılık, İnşa Etme, Balıkçılık, Üretim, Madencilik, Denizcilik, Tarım, Sihir",Vawraek Technology Inc.,Vawraek Technology Inc.,24 Oca 2025,Türkçe İncelemelerKarışık(%67/740),"En Son:Çoğunlukla Olumlu(%71/1,439)","Arayuz, Altyazi",,$3.19 USD,"MMO, Çevrimiçi PvP, Çevrimiçi Eşli, Steam Başarımları, Uygulama İçi Satın Alımlar",,Türkçe ve 12 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi",
Satisfactory,"Üs İnşa Etme, Otomasyon, Açık Dünya, Çok Oyunculu, Üretim, Eşli, İnşa Etme, Kaynak Yönetimi, Sandbox, Keşif, Macera, Açık Dünya Hayatta Kalma İnşa, Hayatta Kalma, Birinci Şahıs, Simülasyon, Strateji, Tek Oyunculu, Bilim Kurgu, Bağımsız, Erken Erişim",Coffee Stain Studios,Coffee Stain Publishing,8 Haz 2020,"Türkçe İncelemelerSon Derece Olumlu(%95/6,002)","En Son:Son Derece Olumlu(%96/2,323)",Desteklenmiyor,-30%$4.49$3.14 USD,$3.14 USD,"Tek Oyunculu, Çevrimiçi Eşli, Çapraz Platform Çok Oyunculu, Steam Başarımları, Steam Cloud, Tablette Remote Play, Aile Paylaşımı",Kismi kontrolcu destegi,13 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi",
Assassin’s Creed Shadows,"Aksiyon, Macera, Açık Dünya, Kadın Karakter, Ninja, Gizlilik, Suikastçı, Çatışma, 3D, Tek Oyunculu, RYO, Aksiyon Macera, Kılıçlı Dövüş, Aksiyon RYO, Üçüncü Şahıs, Parkur, Şiddet, Keşif, Zengin Hikâye, Sinematik","Ubisoft Quebec, Ubisoft Belgrade, Ubisoft Bordeaux, Ubisoft Bucharest & Craiova, Ubisoft Chengdu, Ubisoft Montpellier, Ubisoft Montreal, Ubisoft Osaka, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia, Ubisoft Ukraine",Ubisoft,19 Mar 2025,Türkçe İncelemelerÇoğunlukla Olumlu(%73/471),"En Son:Karışık(%65/1,007)",Desteklenmiyor,$19.99 USD,$55.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, İşitme engelliler için altyazı desteği, Uygulama İçi Satın Alımlar, HDR desteği",Kismi kontrolcu destegi,13 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Arapça: Arayuz, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi",18+
ICARUS,"Hayatta Kalma, Açık Dünya Hayatta Kalma İnşa, Çok Oyunculu, Üs İnşa Etme, Çevrimiçi Eşli Oyun, Üretim, Açık Dünya, Keşif, İnşa Etme, Eşli, PvE, Birinci Şahıs, Uzay, Gerçekçi, Sandbox, Madencilik, Üçüncü Şahıs, Macera, Doğa, Bilim",RocketWerkz,RocketWerkz,3 Ara 2021,Türkçe İncelemelerÇoğunlukla Olumlu(%73/535),"En Son:Çoğunlukla Olumlu(%77/1,541)",Desteklenmiyor,-15%$14.99$12.74 USD,$111.92 USD,"Tek Oyunculu, Çevrimiçi Eşli, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",,10 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
Quarantine Zone: The Last Check,"Zombi, Simülasyon, Tek Oyunculu, Kıyamet Sonrası, Önemli Seçimler, Birinci Şahıs, Gerçekçi, 3D, Askerî, Atmosferik, Kaynak Yönetimi, Yönetim, Kara Mizah, Sürükleyici Simülasyon, Üs İnşa Etme, Amerika, Yaşam Simülatörü, Dram, İnşa Etme, Duygusal",Brigada Games,Devolver Digital,12 Oca 2026,Türkçe İncelemelerÇok Olumlu(%86/221),"En Son:Çok Olumlu(%84/1,212)","Arayuz, Altyazi",$2.99 USD,$9.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 13 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi",
Mortal Kombat 11,"Dövüş, Vahşet, Çok Oyunculu, Şiddet, Kan, Aksiyon, 2D Dövüş, Yetişkinler İçin, Yerel Çok Oyunculu, Rekabetçi, Tek Oyunculu, Karakter Kişiselleştirme, Zengin Hikâye, Atmosferik, Harika Müzik, Sevimli, Cinsel İçerik, Arcade, 2.5D, Korku","NetherRealm Studios, QLOC, Shiver","Warner Bros. Games, Warner Bros. Interactive Entertainment",23 Nis 2019,"Türkçe İncelemelerÇok Olumlu(%89/6,543)",En Son:Çok Olumlu(%89/567),Desteklenmiyor,$49.99 USD,$49.99 USD,"Tek Oyunculu, Çevrimiçi PvP, Ortak/Bölünmüş Ekran PvP, Steam Başarımları, Steam Koleksiyon Kartları, Uygulama İçi Satın Alımlar, Steam Cloud, Telefonda Remote Play, Tablette Remote Play, Televizyonda Remote Play, Remote Play Together, HDR desteği, Aile Paylaşımı",Tam kontrolcu destegi,12 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Arapça: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Seslendirme, Altyazi | Geleneksel Çince: Arayuz, Altyazi",18+
